Name,Type of Desc.,Street,City,County,Zip,FY2019_Lbs,F12mo_Lbs
Salvation Army/Cambridge Food Pantry,Food Pantry,402 Massachusetts Ave.,Cambridge,Middlesex,2139,"21,045","50,449"
Church of God of Prophecy/Roxbury,Food Pantry,270 Warren St,Roxbury,Suffolk,2119,"88,579","77,065"
Open Pantry of Greater Lowell,Food Pantry,13 Hurd St.,Lowell,Middlesex,1852,"433,716","363,026"
St. Paul's AME Church Pantry,Food Pantry,85 Bishop Allen Drive,Cambridge,Middlesex,2139,"89,143","51,705"
Salvation Army/Kroc Ctr Emerg Food Pntry,Food Pantry,650 Dudley Street,Dorchester,Suffolk,2125,"60,327","547,429"
Salvation Army/Chelsea Pantry,Food Pantry,258 Chestnut Street,Chelsea,Suffolk,2150,"58,685","658,400"
Catholic Charities/El Centro del Cardena,Food Pantry,Monsignor Reynolds Way,Boston,Suffolk,2118,"213,384","228,834"
Harvard Street Neighborhood Health Ctr.,Food Pantry,895 Blue Hill Ave.,Dorchester,Suffolk,2124,"34,707","35,304"
ABCD/Jamaica Plain Pantry,Food Pantry,30 Bickford Street,Jamaica Plain,Suffolk,2130,"153,970","177,418"
Union United Methodist Church Food Pantry,Food Pantry,485 Columbus Ave.,Roxbury,Suffolk,2118,"80,208","53,389"
USCC/ St. Matthew's Church Food Pantry,Food Pantry,33 Stanton Street,Dorchester,Suffolk,2124,"37,029","38,306"
ABCD/Parker Hill Fenway Nghbrhd Svc Ctr.,Food Pantry,714 Parker St,Roxbury,Suffolk,2120,"94,099","126,453"
Somerville Homeless Coalition/Project SOUP,Food Pantry,165 Broadway,Somerville,Middlesex,2143,"213,428","310,455"
Salvation Army/Salem Pantry,Food Pantry,93 North Street,Salem,Essex,1970,"19,652","21,763"
Salvation Army/Mystic Valley Pantry,Food Pantry,213 Main St,Malden,Middlesex,2148,"16,139","31,466"
Holy Redeemer Church/Our Daily Bread Pty,Food Pantry,56 Havre Street,East Boston,Suffolk,2128,"70,110","61,231"
St. James Episcopal/Helping Hand Pantry,Food Pantry,364 Rindge Ave.,Cambridge,Middlesex,2140,"18,783","24,754"
First Congregational Church Pantry,Food Pantry,230 Beach St.,Revere,Suffolk,2151,"98,964","370,965"
ABCD Roxbury/N. Dorchester Neighborhood Opportunity Center,Food Pantry,565 Warren Street,Dorchester,Suffolk,2121,"133,039","199,363"
Needham Community Council Food Pantry,Food Pantry,570 Hillside Ave,Needham,Norfolk,2494,"50,039","71,376"
A Place to Turn,Food Pantry,99 Hartford St.,Natick,Middlesex,1760,"99,590","83,060"
CI/Haven From Hunger Meals,Meal Program/Soup Kitchen,71 Wallis St.,Peabody,Essex,1960,"57,162","85,404"
CI/Haven From Hunger Pantry,Food Pantry,71 Wallis St.,Peabody,Essex,1960,"1,125,937","1,601,133"
Church of the Covenant,Food Pantry,67 Newbury St.,Boston,Suffolk,2116,"28,432","23,707"
Holy Tabernacle Church,Food Pantry,70 Washington Street,Dorchester,Suffolk,2121,"292,291","371,841"
Eliot Congregational Church Food Pantry,Food Pantry,56 Dale St.,Roxbury,Suffolk,2119,"84,454","58,192"
Haley House Soup Kitchen,Meal Program/Soup Kitchen,23 Dartmouth St.,Boston,Suffolk,2116,"54,224","60,580"
Harvard Square Churches Meal Program,Meal Program/Soup Kitchen,0 Garden St.,Cambridge,Middlesex,2138,"29,669","30,988"
Boston Rescue Mission / Meals,Meal Program/Soup Kitchen,39 Kingston St.,Boston,Suffolk,2111,"51,464","37,034"
My Brother's Table,Meal Program/Soup Kitchen,98 Willow St.,Lynn,Essex,1901,"318,820","503,780"
Boston Medical Center Food Pantry,Food Pantry,1 Boston Medical Center Yawkey B,Boston,Suffolk,2118,"727,693","530,783"
Pine Street Inn/Meals,Meal Program/Soup Kitchen,444 Harrison Ave.,Boston,Suffolk,2118,"130,745","93,373"
