"Population Estimates by County",""
"County","Population"
"Barnstable County","212,990"
"Berkshire County","124,944"
"Bristol County","565,217"
"Dukes County","17,332"
"Essex County","789,034"
"Franklin County","70,180"
"Hampden County","466,372"
"Hampshire County","160,830"
"Middlesex County","1,611,699"
"Nantucket County","11,399"
"Norfolk County","706,775"
"Plymouth County","521,202"
"Suffolk County","803,907"
"Worcester County","830,622"
"Source(s): U.S. Census Bureau, Vintage 2019 Population Estimates 
 Powered by the U.S. Census Bureau
 Data may contain sampling error. Sampling error and margin of errormay render some of the differences between geographies statistically insignificant.An 'X' entry indicates that either no sample observations or too few sample observations were available to compute an estimate.Note that an 'X' entry in other US Census Bureau tables could indicate a different issue.
  ",""
