Food Resource Type,Agency,Location,Operational Status,Operational Notes,Current Process for Distribution,Who They Serve,Address,Latitude,Longitude,Phone Number,Website,Days/Hours,Date Updated
Food Bank,Algona/Pacific Food Pantry,,Open,Distributing prepacked boxes or bags,Drive Up/Walk Up,General Public,"603 3rd Ave SE, Pacific, WA 98047",47.265011,-122.236771,(253)-351-0450,http://networks.whyhunger.org/organization/view/28396,"Tues
10:00 am - 1:00 pm",10/29/2020 12:00:00 AM
Food Bank & Meal,Asian Counseling and Referral Service (ACRS),ACRS Food Bank and Meals,Limited Operations,Emergency Food and Meal Delivery: Call Jo Pullen (206)-774-2420,Home Delivery,General Public,"919 S King St, Seattle, WA 98104",47.5982137,-122.320193,(206)-774-2420,http://www.acrs.org/services/aging-services-for-older-adults/acrs-food-bank/,Home Delivery only,10/29/2020 12:00:00 AM
Meal,Asian Counseling and Referral Service (ACRS),Kent Memorial Park (Nepali and Samoan Meal Program),Limited Operations,Emergency Food and Meal Delivery: Call Jo Pullen (206)-774-2420,Home Delivery,Older Adults 60+ and Eligible Participants,"850 Central Avenue N, Kent, WA 98032",47.3901637,-122.2304706,(253)-856-5000,http://www.kentwa.gov/Home/Components/FacilityDirectory/FacilityDirectory/250/318,Home Delivery ONLY,10/30/2020 12:00:00 AM
Meal,Asian Counseling and Referral Service (ACRS),Duoc Su Senior Nutr. Program,Limited Operations,Emergency Food and Meal Delivery: Call Jo Pullen (206)-774-2420,Home Delivery,Older Adults 60+ and Eligible Participants,"6924 42nd Ave S , Seattle, WA 98118",47.5400001,-122.2803173,(206)-695-7510,http://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,To-go Meals Only,10/30/2020 12:00:00 AM
Meal,Asian Counseling and Referral Service (ACRS),Friendly Island of Tonga Seniors,Limited Operations,Emergency Food and Meal Delivery: Call Jo Pullen (206)-774-2420,Home Delivery,Older Adults 60+ and Eligible Participants,"4620 SW Graham Street, Seattle, WA 98136",47.546979,-122.3922666,(206)-695-7510,http://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,To-go and Delivered Meals,10/01/2020 12:00:00 AM
Meal,Asian Counseling and Referral Service (ACRS),Laotian Senior Club,Limited Operations,Emergency Food and Meal Delivery: Call Jo Pullen (206)-774-2420,Home Delivery,Older Adults 60+ and Eligible Participants,"5740 Martin Luther King Jr Way S, Seattle, WA 98118",47.5500465,-122.2871358,(206)-695-7510,http://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Meal and Grocery Delivery:
Wed, Fri: 11:30 am - 1:00 pm",10/01/2020 12:00:00 AM
Meal,Asian Counseling and Referral Service (ACRS),Club Bamboo and Hmong Senior Club,Limited Operations,Emergency Food and Meal Delivery: Call Jo Pullen (206)-774-2420,Home Delivery,Older Adults 60+ and Eligible Participants,"3639 Martin Luther King Jr Way S, Seattle, WA 98144",47.570897,-122.2973881,(206)-695-7510,http://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Meal and Grocery Delivery:
Mon, Tues, Wed, Thurs, Fri: 11:30 am - 1:00 pm",10/01/2020 12:00:00 AM
Meal,Asian Counseling and Referral Service (ACRS),Seattle Korean Elders Assoc Center Park - SHA,Limited Operations,Emergency Food and Meal Delivery: Call Jo Pullen (206)-774-2420,Home Delivery,Older Adults 60+ and Eligible Participants,"2121 26th Ave S, Seattle, WA 98144",47.5842083,-122.2996639,(206)-695-7510,http://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Meal and Grocery Delivery:
Tues, Fri: 12:00 pm - 1:00 pm",10/01/2020 12:00:00 AM
Meal,Asian Counseling and Referral Service (ACRS),Vietnamese Senior Assoc. Garfield Community Center,Limited Operations,Emergency Food and Meal Delivery: Call Jo Pullen (206)-774-2420,Home Delivery,Older Adults 60+ and Eligible Participants,"2323 E Cherry St, Seattle, WA 98112",47.6076951,-122.3021127,(206)-695-7510,http://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Meal and Grocery Delivery:
Tues, Fri: 12:00 pm - 1:00 pm",10/01/2020 12:00:00 AM
Meal,Asian Counseling and Referral Service (ACRS),Korean Senior Club Miller Community Ctr,Limited Operations,Emergency Food and Meal Delivery: Call Jo Pullen (206)-774-2420,Home Delivery,Older Adults 60+ and Eligible Participants,"330 19th Ave E, Seattle, WA 98122",47.6219158,-122.3069784,(206)-695-7510,http://www.acrs.org/services/aging-services-for-older-adults/senior-lunch-programs/,"Meal and Grocery Delivery:
Tues, Fri: 11:30 am - 1:00 pm",10/01/2020 12:00:00 AM
Food Bank,Atlantic Street Center,Kent,Open,First come first serve,Drive Up/Walk Up,General Public,"610 W Meeker St, Kent, WA 98032",47.3811562,-122.2392975,(206)-329-2050,,Fri 2:00 pm,10/30/2020 12:00:00 AM
Food Bank,Atlantic Street Center,Rainier Beach,Open,First come first serve,Drive Up/Walk Up,General Public,"5150 S Cloverdale Pl, Seattle, WA 98118",47.5276803,-122.2683005,(206)-329-2050,,"Thurs 2:00 pm
Every Other Fri 2:00 pm",10/30/2020 12:00:00 AM
Meal,Atrium Kitchen,,Open,,Home Delivery,Contact Agency for Any Eligibility Requirements,"93 Pike St, Seattle, WA 98101",47.608632,-122.3401409,(206)-829-9525,http://www.atriumkitchenpikeplace.com/,"First Wed of Month: 11:30 am - 1:00 pm 

Every Fri: 9:00 am - 11:00 am",10/29/2020 12:00:00 AM
Food Bank,Auburn Food Bank,,Limited Operations,"Serves residents of residents of Auburn School District; proof of address and ID required.

Curbside/car drop off for existing clients; if new client, application will need to be filled out quickly inside.",Drive Up/Walk Up,General Public,"930 18th Place NE, Auburn, WA 98002",47.323724,-122.218286,(253)-833-8925,http://www.theauburnfoodbank.org/,"Mon, Tues, Thurs, Fri
9:00 am - 1:00 pm                                                                                                          Second Wed of each month:
4:30 pm - 6:15 pm",10/30/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Les Gove Park,Open,summer meals offered. additional locations at bus stop. last date of summer meals August 31st,Drive Up/Walk Up,Youth and Young Adults,"910 9th St SE, Auburn, WA 98002",47.298889,-122.216349,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=1,"Mon, Tues, Wed, Thurs, Fri
10:50 am - 11:00 pm",08/21/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Lakeland Hills  Elementary School,Open,"Meals will be served at all schools from 11:10 a.m. – 12:40 p.m. on school days. Breakfast and lunch will be served at the same time, and parents/guardians may pick up meals for their students. 

Meals can be picked up at any school that is convenient for the family.",Drive Up/Walk Up,Youth and Young Adults,"1020 Evergreen Way SE, Auburn, WA 98092-8019",47.2543536,-122.2155243,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=1,"Mon, Tues, Wed, Thurs, Fri
11:10 am - 12:40 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Pacific Community Center,Open,summer meals offered. additional locations at bus stop. last date of summer meals August 31st,Drive Up/Walk Up,Youth and Young Adults,"100 3rd Ave SE, Pacific, WA 98047",47.264272,-122.2496405,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=1,"Mon, Tues, Wed, Thurs, Fri
11:15 am - 12:30 pm",08/21/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Auburn Riverside High School,Open,"Meals will be served at all schools from 11:10 a.m. – 12:40 p.m. on school days. Breakfast and lunch will be served at the same time, and parents/guardians may pick up meals for their students. 

Meals can be picked up at any school that is convenient for the family.",Drive Up/Walk Up,Youth and Young Adults,"501 Oravetz Rd, Auburn, WA 98092",47.2674251,-122.2224411,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=1,"Mon, Tues, Wed, Thurs, Fri
11:10 am - 12:40 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Alpac Elementary School,Open,"Meals will be served at all schools from 11:10 a.m. – 12:40 p.m. on school days. Breakfast and lunch will be served at the same time, and parents/guardians may pick up meals for their students. 

Meals can be picked up at any school that is convenient for the family.",Drive Up/Walk Up,Youth and Young Adults,"310 Milwaukee Blvd N, Pacific, WA 98047",47.2691381,-122.2493868,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=1,"Mon, Tues, Wed, Thurs
11:10 am - 12:40 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Cobble Court,Closed,No summer meals,Drive Up/Walk Up,Youth and Young Adults,"345 Pacific Ave N, Pacific, WA 98047",47.2709651,-122.2369026,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=4,"Mon, Tues, Wed, Thurs, Fri
11:00 am - 12:00 pm",06/25/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Mt Baker Middle School,Closed,"Meals will be served at all schools from 11:10 a.m. – 12:40 p.m. on school days. Breakfast and lunch will be served at the same time, and parents/guardians may pick up meals for their students. 

Meals can be picked up at any school that is convenient for the family.",Drive Up/Walk Up,Youth and Young Adults,"620 37th Street SE, Auburn, WA 98002",47.2755469,-122.2209087,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=1,"Mon, Tues, Wed, Thurs, Fri
11:10 am - 12:40 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Firwood,Closed,No summer meals,Drive Up/Walk Up,Youth and Young Adults,"313 37th St SE, Auburn, WA 98002",47.2759587,-122.2248309,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=5,"Mon, Tues, Wed, Thurs, Fri
11:00 am - 12:00 pm",06/25/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Sherwood Gardens,Open,"Meals will be served at all schools from 11:10 a.m. – 12:40 p.m. on school days. Breakfast and lunch will be served at the same time, and parents/guardians may pick up meals for their students. 

Meals can be picked up at any school that is convenient for the family.",Drive Up/Walk Up,Youth and Young Adults,"2901 Auburn Way S, Auburn, WA 98092",47.2875797,-122.1908,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=6,"Mon, Tues, Wed, Thurs, Fri
11:10 am - 12:40 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Chinook  Elementary School,Open,"Meals will be served at all schools from 11:10 a.m. – 12:40 p.m. on school days. Breakfast and lunch will be served at the same time, and parents/guardians may pick up meals for their students. 

Meals can be picked up at any school that is convenient for the family.",Drive Up/Walk Up,Youth and Young Adults,"3502 Auburn Way S, Auburn, WA 98092",47.289561,-122.1811597,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=1,"Mon, Tues, Wed, Thurs, Fri
11:10 am - 12:40 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Olympic  Middle School,Open,"Meals will be served at all schools from 11:10 a.m. – 12:40 p.m. on school days. Breakfast and lunch will be served at the same time, and parents/guardians may pick up meals for their students. 

Meals can be picked up at any school that is convenient for the family.",Drive Up/Walk Up,Youth and Young Adults,"839 21st Street SE, Auburn, WA 98002",47.2906014,-122.2175084,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=1,"Mon, Tues, Wed, Thurs, Fri
11:10 am - 12:40 pm",09/04/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,YMCA,Open,summer meals offered. additional locations at bus stop. Last day of summer meals August 31st,Drive Up/Walk Up,Youth and Young Adults,"1620 Perimeter Rd SW, Auburn, WA 98001",47.2933561,-122.2386538,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=1,"Mon, Tues, Wed, Thurs, Fri
11:00 am - 12:00 pm",08/21/2020 12:00:00 AM
Student To-Go Meals,Auburn School District,Terminal Park Elementary School,Open,"Meals will be served at all schools from 11:10 a.m. – 12:40 p.m. on school days. Breakfast and lunch will be served at the same time, and parents/guardians may pick up meals for their students. 

Meals can be picked up at any school that is convenient for the family.",Drive Up/Walk Up,Youth and Young Adults,"1101 D Street SE, Auburn, WA 98002",47.297954,-122.225198,,http://www.auburn.wednet.edu/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=406&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=49533&PageID=1,"Mon, Tues, Wed, Thurs, Fri
 11:10 am - 12:40 pm",09/04/2020 12:00:00 AM
