Result_Date,People_Tested,People_Tested_Rate
2/1/2020,0,      0.00
2/2/2020,0,      0.00
2/3/2020,0,      0.00
2/4/2020,1,      0.04
2/5/2020,1,      0.04
2/6/2020,0,      0.00
2/7/2020,0,      0.00
2/8/2020,0,      0.00
2/9/2020,0,      0.00
2/10/2020,0,      0.00
2/11/2020,0,      0.00
2/12/2020,0,      0.00
2/13/2020,0,      0.00
2/14/2020,0,      0.00
2/15/2020,0,      0.00
2/16/2020,0,      0.00
2/17/2020,0,      0.00
2/18/2020,0,      0.00
2/19/2020,0,      0.00
2/20/2020,1,      0.04
2/21/2020,0,      0.00
2/22/2020,0,      0.00
2/23/2020,0,      0.00
2/24/2020,0,      0.00
2/25/2020,0,      0.00
2/26/2020,0,      0.00
2/27/2020,1,      0.04
2/28/2020,5,      0.22
2/29/2020,3,      0.13
3/1/2020,13,      0.58
3/2/2020,17,      0.76
3/3/2020,24,      1.08
3/4/2020,155,      6.96
3/5/2020,102,      4.58
3/6/2020,154,      6.92
3/7/2020,171,      7.68
3/8/2020,292,     13.12
3/9/2020,217,      9.75
3/10/2020,349,     15.68
3/11/2020,608,     27.31
3/12/2020,561,     25.20
3/13/2020,732,     32.88
3/14/2020,804,     36.11
3/15/2020,750,     33.69
3/16/2020,710,     31.89
3/17/2020,1028,     46.18
3/18/2020,1124,     50.49
3/19/2020,861,     38.67
3/20/2020,1289,     57.90
3/21/2020,1294,     58.12
3/22/2020,990,     44.47
3/23/2020,915,     41.10
3/24/2020,1155,     51.88
3/25/2020,1401,     62.93
3/26/2020,1710,     76.81
3/27/2020,1703,     76.49
3/28/2020,1383,     62.12
3/29/2020,1360,     61.09
3/30/2020,1063,     47.75
3/31/2020,1154,     51.83
4/1/2020,1594,     71.60
4/2/2020,1446,     64.95
4/3/2020,1509,     67.78
4/4/2020,1076,     48.33
4/5/2020,866,     38.90
4/6/2020,1143,     51.34
4/7/2020,994,     44.65
4/8/2020,1546,     69.44
4/9/2020,1833,     82.33
4/10/2020,1420,     63.78
4/11/2020,1413,     63.47
4/12/2020,725,     32.57
4/13/2020,750,     33.69
4/14/2020,1264,     56.78
4/15/2020,1599,     71.82
4/16/2020,1263,     56.73
4/17/2020,1483,     66.61
4/18/2020,1467,     65.89
4/19/2020,997,     44.78
4/20/2020,748,     33.60
4/21/2020,1228,     55.16
4/22/2020,1606,     72.14
4/23/2020,1408,     63.24
4/24/2020,1338,     60.10
4/25/2020,1371,     61.58
4/26/2020,958,     43.03
4/27/2020,1246,     55.97
