Age_Group,City,Population,People_Tested,All_Test_Results,Positives,Hospitalizations,Deaths
0-9,All King County,257228.65,24144,29966,0,0,0
10-19,All King County,254148.03,40097,62012,0,0,0
20-29,All King County,207537.14,118653,211293,0,0,0
30-39,All King County,394262.07,120569,198251,5946,216,6
40-49,All King County,296609.58,79529,125266,4564,306,13
50-59,All King County,270375.02,76396,120551,4098,434,52
60-69,All King County,219475.51,60691,96027,2797,563,117
70-79,All King County,122090.34,34470,55626,1383,478,186
80+,All King County,61987.13,19391,36712,1361,589,437
Unknown,All King County,0,1574,1799,0,0,0
0-9,Algona,484,27,31,0,0,0
10-19,Algona,460,53,60,0,0,0
20-29,Algona,518,126,169,0,0,0
30-39,Algona,480,150,193,0,0,0
40-49,Algona,390,107,136,0,0,0
50-59,Algona,442,105,133,0,0,0
60-69,Algona,252,72,99,0,0,0
70-79,Algona,121,30,46,0,0,0
80+,Algona,44,11,19,0,0,0
Unknown,Algona,0,7,7,0,0,0
0-9,Auburn,12296,907,1026,0,0,0
10-19,Auburn,10206,1261,1506,0,0,0
20-29,Auburn,10808,2929,4186,0,0,0
30-39,Auburn,12008,3093,4369,0,0,0
40-49,Auburn,9801,2273,3146,0,0,0
50-59,Auburn,11229,2280,3398,0,0,0
60-69,Auburn,7037,1789,2658,159,39,5
70-79,Auburn,3852,992,1513,65,17,5
80+,Auburn,1873,566,1039,58,27,18
Unknown,Auburn,0,59,61,0,0,0
0-9,Beaux Arts Village,43,4,4,0,0,0
10-19,Beaux Arts Village,100,24,34,0,0,0
20-29,Beaux Arts Village,9,21,35,0,0,0
30-39,Beaux Arts Village,10,9,15,0,0,0
40-49,Beaux Arts Village,98,18,23,0,0,0
50-59,Beaux Arts Village,49,25,42,0,0,0
60-69,Beaux Arts Village,34,10,25,0,0,0
70-79,Beaux Arts Village,32,9,11,0,0,0
80+,Beaux Arts Village,19,3,4,0,0,0
Unknown,Beaux Arts Village,0,0,0,0,0,0
0-9,Bellevue,15954,1137,1330,0,0,0
10-19,Bellevue,15428,2267,3058,0,0,0
20-29,Bellevue,19973,5303,7865,0,0,0
30-39,Bellevue,23323,4823,6725,0,0,0
40-49,Bellevue,20582,3733,5328,0,0,0
50-59,Bellevue,19769,4219,5933,0,0,0
60-69,Bellevue,13120,3265,4720,120,26,6
70-79,Bellevue,8247,2051,3118,65,19,5
80+,Bellevue,5846,1475,2507,107,57,27
Unknown,Bellevue,0,109,132,0,0,0
0-9,Black Diamond,663,41,51,0,0,0
10-19,Black Diamond,421,82,97,0,0,0
20-29,Black Diamond,420,144,187,0,0,0
30-39,Black Diamond,605,179,233,0,0,0
40-49,Black Diamond,526,127,163,0,0,0
50-59,Black Diamond,824,167,243,0,0,0
60-69,Black Diamond,511,134,182,0,0,0
70-79,Black Diamond,381,64,104,0,0,0
80+,Black Diamond,83,27,38,0,0,0
Unknown,Black Diamond,0,2,2,0,0,0
0-9,Bothell,6077,262,316,0,0,0
10-19,Bothell,5166,378,482,0,0,0
20-29,Bothell,5948,1036,1550,0,0,0
30-39,Bothell,6973,1065,1451,0,0,0
40-49,Bothell,6828,807,1104,0,0,0
50-59,Bothell,5777,788,1136,0,0,0
60-69,Bothell,4466,678,1032,0,0,0
70-79,Bothell,2061,454,698,0,0,0
80+,Bothell,1698,422,706,16,11,7
Unknown,Bothell,0,14,16,0,0,0
0-9,Boulevard Park,405,42,54,0,0,0
10-19,Boulevard Park,235,64,78,0,0,0
20-29,Boulevard Park,584,206,322,0,0,0
30-39,Boulevard Park,737,201,297,0,0,0
40-49,Boulevard Park,620,156,234,0,0,0
50-59,Boulevard Park,293,121,226,0,0,0
60-69,Boulevard Park,442,109,175,0,0,0
70-79,Boulevard Park,283,57,110,0,0,0
80+,Boulevard Park,124,21,40,0,0,0
Unknown,Boulevard Park,0,0,0,0,0,0
0-9,Bryn Mawr-Skyway,2240,209,250,0,0,0
10-19,Bryn Mawr-Skyway,2467,263,331,0,0,0
20-29,Bryn Mawr-Skyway,2100,688,1077,0,0,0
30-39,Bryn Mawr-Skyway,2731,897,1481,0,0,0
40-49,Bryn Mawr-Skyway,2677,591,964,0,0,0
50-59,Bryn Mawr-Skyway,2732,556,848,0,0,0
60-69,Bryn Mawr-Skyway,1799,459,719,0,0,0
70-79,Bryn Mawr-Skyway,821,255,383,0,0,0
80+,Bryn Mawr-Skyway,780,138,280,0,0,0
Unknown,Bryn Mawr-Skyway,0,13,20,0,0,0
0-9,Burien,7057,566,692,0,0,0
10-19,Burien,5964,785,1004,0,0,0
20-29,Burien,6381,1897,2870,0,0,0
30-39,Burien,7624,2497,3911,0,0,0
40-49,Burien,7604,1910,2950,0,0,0
50-59,Burien,6676,1796,2785,0,0,0
60-69,Burien,5387,1427,2232,97,27,6
70-79,Burien,3059,732,1177,48,17,7
80+,Burien,1574,350,643,31,11,7
Unknown,Burien,0,55,63,0,0,0
0-9,Carnation,163,23,28,0,0,0
10-19,Carnation,296,41,49,0,0,0
20-29,Carnation,158,42,60,0,0,0
30-39,Carnation,265,70,108,0,0,0
40-49,Carnation,217,45,56,0,0,0
50-59,Carnation,326,46,66,0,0,0
60-69,Carnation,238,41,70,0,0,0
70-79,Carnation,60,14,19,0,0,0
80+,Carnation,44,3,3,0,0,0
Unknown,Carnation,0,1,1,0,0,0
0-9,Clyde Hill,273,32,37,0,0,0
10-19,Clyde Hill,714,129,208,0,0,0
20-29,Clyde Hill,167,113,202,0,0,0
30-39,Clyde Hill,203,51,70,0,0,0
40-49,Clyde Hill,609,104,155,0,0,0
50-59,Clyde Hill,502,177,286,0,0,0
60-69,Clyde Hill,376,79,129,0,0,0
70-79,Clyde Hill,272,57,73,0,0,0
80+,Clyde Hill,179,36,50,0,0,0
Unknown,Clyde Hill,0,1,1,0,0,0
0-9,Cottage Lake,3097,183,213,0,0,0
10-19,Cottage Lake,3787,467,642,0,0,0
20-29,Cottage Lake,1625,537,771,0,0,0
30-39,Cottage Lake,1976,547,719,0,0,0
40-49,Cottage Lake,3873,601,790,0,0,0
50-59,Cottage Lake,4447,775,1113,0,0,0
60-69,Cottage Lake,3479,702,976,0,0,0
70-79,Cottage Lake,1290,348,496,0,0,0
80+,Cottage Lake,381,130,191,0,0,0
Unknown,Cottage Lake,0,15,15,0,0,0
0-9,Covington,2681,169,212,0,0,0
10-19,Covington,2612,307,373,0,0,0
20-29,Covington,2689,680,934,0,0,0
30-39,Covington,3080,744,1019,0,0,0
40-49,Covington,3006,544,757,0,0,0
50-59,Covington,3222,622,871,0,0,0
60-69,Covington,1839,468,620,0,0,0
70-79,Covington,782,239,362,0,0,0
80+,Covington,536,101,158,0,0,0
Unknown,Covington,0,6,6,0,0,0
0-9,Des Moines,3947,281,351,0,0,0
10-19,Des Moines,3285,440,584,0,0,0
20-29,Des Moines,4314,1161,1727,0,0,0
30-39,Des Moines,4375,1329,2077,0,0,0
40-49,Des Moines,4714,1015,1608,0,0,0
50-59,Des Moines,3678,1076,1682,0,0,0
60-69,Des Moines,3320,861,1498,0,0,0
70-79,Des Moines,2226,571,1093,0,0,0
80+,Des Moines,1659,396,978,0,0,0
Unknown,Des Moines,0,36,40,0,0,0
0-9,Duvall,1313,71,79,0,0,0
10-19,Duvall,1333,156,185,0,0,0
20-29,Duvall,536,189,248,0,0,0
30-39,Duvall,1195,249,324,0,0,0
40-49,Duvall,1765,256,327,0,0,0
50-59,Duvall,968,269,388,0,0,0
60-69,Duvall,520,187,289,0,0,0
70-79,Duvall,141,88,128,0,0,0
80+,Duvall,40,25,41,0,0,0
Unknown,Duvall,0,3,3,0,0,0
0-9,East Renton Highlands,1515,114,134,0,0,0
10-19,East Renton Highlands,1296,226,297,0,0,0
20-29,East Renton Highlands,1107,304,452,0,0,0
