FIPS,STATE,Food_Insec_Rate,Has_FB,Dist_nearest_county_FB,Sate,County,Unemployment_rate_2019,Med_HH_Income_Percent_of_State_Total_2019,PovertyRate_2019,"Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18",Population_2010,RUCC_2013
1001,AL,0.186,0,26.844686566998803,AL,Autauga County,2.7,112.48188781738281,15.9,11.3,32.6,27.7,54571.0,2.0
1003,AL,0.163,0,26.8293634811526,AL,Baldwin County,2.7,115.64582824707031,13.5,9.7,27.6,31.3,182265.0,3.0
1005,AL,0.251,0,26.3030871615297,AL,Barbour County,3.8,69.48291778564453,41.0,27.0,35.7,12.2,27457.0,6.0
1007,AL,0.189,0,29.718291992734798,AL,Bibb County,3.1,92.55760955810547,25.9,16.8,47.3,11.5,22915.0,1.0
1009,AL,0.161,0,34.870900981190196,AL,Blount County,2.7,102.18462371826172,21.0,19.8,34.0,12.6,57322.0,1.0
1011,AL,0.233,0,19.7615007504866,AL,Bullock County,3.6,61.62909698486328,39.9,24.8,39.7,13.3,10914.0,6.0
1013,AL,0.235,0,27.437982166862696,AL,Butler County,3.6,77.15516662597656,34.6,15.4,43.9,16.1,20947.0,6.0
1015,AL,0.215,0,63.578387066453,AL,Calhoun County,3.5,92.22731018066406,24.6,15.9,32.4,18.0,118572.0,3.0
1017,AL,0.202,0,21.803581610332103,AL,Chambers County,2.9,81.15547180175781,30.4,18.6,38.4,13.2,34215.0,6.0
1019,AL,0.185,0,70.12169669789411,AL,Cherokee County,2.9,88.81806182861328,23.3,19.8,38.3,12.9,25989.0,6.0
1021,AL,0.189,0,42.4600361813578,AL,Chilton County,2.7,95.98423767089844,23.1,17.8,44.1,14.2,43643.0,1.0
1023,AL,0.242,0,70.4528615900842,AL,Choctaw County,4.7,76.89247131347656,30.4,18.6,38.2,13.0,13859.0,9.0
1025,AL,0.253,0,60.8867271842806,AL,Clarke County,5.8,84.64584350585938,28.6,18.8,43.7,12.6,25833.0,7.0
1027,AL,0.183,0,54.537681163251,AL,Clay County,3.0,78.34888458251953,26.0,24.5,36.3,10.2,13932.0,9.0
